T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 80 | 10634.04 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 81 | 10632.85 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 82 | 10631.66 | Compounding Amt :- 5.76
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 83 | 10630.47 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 84 | 10629.28 | Compounding Amt :- 8.139999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 9.686599999999999 | Counter :- 85 | 10621.85 | Compounding Amt :- 8.139999999999999
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 86 | 10620.66 | Compounding Amt :- 17.8266
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 21.213654 | Counter :- 87 | 10601.7 | Compounding Amt :- 17.8266
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 88 | 10640.64 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 89 | 10639.45 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 90 | 10638.26 | Compounding Amt :- 3.38
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 91 | 10637.07 | Compounding Amt :- 4.57
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 92 | 10635.88 | Compounding Amt :- 5.76
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 6.8544 | Counter :- 93 | 10631.28 | Compounding Amt :- 5.76
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 94 | 10643.06 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 95 | 10644.12 | Compounding Amt :- 1
T&D :- 16/01/2023 06:31:00 | EURUSD | call | 1.19 | Counter :- 96 | 10642.93 | Compounding Amt :- 2.19
T&D :- 16/01/2023 06:31:00 | EURUSD | put | 1.19 | Counter :- 97 | 10641.74 | Compounding Amt :- 3.38
