T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 27.73635221 | Counter :- 68 | 11301.91 | Compounding Amt :- 23.307859
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 69 | 11288.34 | Compounding Amt :- 51.04421121
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 70 | 11281.81 | Compounding Amt :- 52.23421121
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 71 | 11288.23 | Compounding Amt :- 53.424211209999996
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 72 | 11257.39 | Compounding Amt :- 54.61421120999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 73 | 11304.68 | Compounding Amt :- 55.80421120999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 74 | 11303.37 | Compounding Amt :- 56.99421120999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 67.82311133989998 | Counter :- 75 | 11210.44 | Compounding Amt :- 56.99421120999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 76 | 11261.47 | Compounding Amt :- 124.81732254989997
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 77 | 11283.8 | Compounding Amt :- 126.00732254989997
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 149.94871383438095 | Counter :- 78 | 11091.6 | Compounding Amt :- 126.00732254989997
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 79 | 11377.87 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 80 | 11278.26 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 81 | 11469.18 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 82 | 11469.98 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 83 | 11474.23 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 84 | 11465 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 2.6061 | Counter :- 85 | 11461.55 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 86 | 11442.62 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 5.707359 | Counter :- 87 | 11439.03 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 88 | 11442.81 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 89 | 11435.34 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 2.6061 | Counter :- 90 | 11396.05 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 91 | 11392.13 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 92 | 11362.02 | Compounding Amt :- 5.9861
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 7.123459 | Counter :- 93 | 11405.79 | Compounding Amt :- 5.9861
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 94 | 11328.64 | Compounding Amt :- 13.109559
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 95 | 11328.51 | Compounding Amt :- 14.299559
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 17.01647521 | Counter :- 96 | 11311.01 | Compounding Amt :- 14.299559
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 97 | 11309.77 | Compounding Amt :- 31.316034209999998
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 98 | 11308.45 | Compounding Amt :- 32.506034209999996
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 99 | 11300.97 | Compounding Amt :- 33.69603420999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 100 | 11297.05 | Compounding Amt :- 34.88603420999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 101 | 11293.48 | Compounding Amt :- 36.07603420999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 42.93048070989999 | Counter :- 102 | 11255.05 | Compounding Amt :- 36.07603420999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 103 | 11244.58 | Compounding Amt :- 79.00651491989998
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 104 | 11241.01 | Compounding Amt :- 80.19651491989998
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 95.43385275468098 | Counter :- 105 | 11127.97 | Compounding Amt :- 80.19651491989998
