T&D :- 16/01/2023 20:19:00 | EURGBP | call | 16.427236 | Counter :- 84 | 11442.62 | Compounding Amt :- 13.8044
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 85 | 11439.03 | Compounding Amt :- 30.231636
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 86 | 11442.81 | Compounding Amt :- 31.421636000000003
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 87 | 11449.03 | Compounding Amt :- 32.611636000000004
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 38.80784684 | Counter :- 88 | 11401.04 | Compounding Amt :- 32.611636000000004
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 89 | 11393.32 | Compounding Amt :- 71.41948284
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 90 | 11362.02 | Compounding Amt :- 72.60948284
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 91 | 11419.81 | Compounding Amt :- 73.79948284
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 87.8213845796 | Counter :- 92 | 11328.64 | Compounding Amt :- 73.79948284
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 93 | 11197.02 | Compounding Amt :- 161.6208674196
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 94 | 11195.83 | Compounding Amt :- 162.8108674196
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 193.74493222932398 | Counter :- 95 | 11004.34 | Compounding Amt :- 162.8108674196
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 96 | 11003.15 | Compounding Amt :- 356.555799648924
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 424.30140158221957 | Counter :- 97 | 10581.1 | Compounding Amt :- 356.555799648924
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 98 | 11382.73 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 2 | 11381.44 | Compounding Amt :- 2
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 2.38 | Counter :- 3 | 11381.18 | Compounding Amt :- 2
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 4 | 11378.8 | Compounding Amt :- 4.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 5 | 11376.42 | Compounding Amt :- 5.57
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 6.6283 | Counter :- 6 | 11370.85 | Compounding Amt :- 5.57
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 7 | 11366.48 | Compounding Amt :- 12.1983
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 14.515977 | Counter :- 8 | 11363.31 | Compounding Amt :- 12.1983
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 9 | 11360.93 | Compounding Amt :- 26.714277
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 10 | 11359.39 | Compounding Amt :- 27.904277
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 33.20608963 | Counter :- 11 | 11327.24 | Compounding Amt :- 27.904277
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 12 | 11385.43 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 13 | 11396.1 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 14 | 11395.97 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 15 | 11394.78 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 16 | 11391.21 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 4.0222 | Counter :- 17 | 11386.25 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 18 | 11391.48 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 19 | 11389.1 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 20 | 11386.72 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 21 | 11384.34 | Compounding Amt :- 4.57
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 5.4383 | Counter :- 22 | 11367.25 | Compounding Amt :- 4.57
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 23 | 11396.64 | Compounding Amt :- 10.0083
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 11.909877 | Counter :- 24 | 11384.6 | Compounding Amt :- 10.0083
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 25 | 11382.22 | Compounding Amt :- 21.918177
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 26.08263063 | Counter :- 26 | 11357.2 | Compounding Amt :- 21.918177
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 27 | 11404.17 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 28 | 11401.79 | Compounding Amt :- 2.19
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 29 | 11399.41 | Compounding Amt :- 3.38
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 30 | 11397.03 | Compounding Amt :- 4.57
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 5.4383 | Counter :- 31 | 11384.99 | Compounding Amt :- 4.57
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 32 | 11401.43 | Compounding Amt :- 10.0083
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 33 | 11400.11 | Compounding Amt :- 11.1983
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 13.325977 | Counter :- 34 | 11386.3 | Compounding Amt :- 11.1983
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 35 | 11387.36 | Compounding Amt :- 24.524276999999998
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 36 | 11379.99 | Compounding Amt :- 25.714277
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 37 | 11370.14 | Compounding Amt :- 26.904277
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 38 | 11384.98 | Compounding Amt :- 28.094277
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 39 | 11381.41 | Compounding Amt :- 29.284277000000003
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 34.848289630000004 | Counter :- 40 | 11339.92 | Compounding Amt :- 29.284277000000003
T&D :- 17/01/2023 06:31:00 | EURGBP | put | 1.19 | Counter :- 41 | 11420.54 | Compounding Amt :- 1
T&D :- 17/01/2023 06:31:00 | EURGBP | call | 1.19 | Counter :- 42 | 11428.02 | Compounding Amt :- 2.19
